space_url,time_period_desc_fixed,price_type,total_price,venue_url,venue_name,space_name,latitude,longitude,address,nearest_tube_station,tube_distance,max_seated,max_standing,max_seated_or_standing,min_area_per_person,area_in_m2,standing,dining,theatre,boardroom,classroom,cabaret,u_shaped,Dining_max,Theatre_max,Boardroom_max,Classroom_max,Cabaret_max,U-Shaped_max,supervenue,external_catering,in_house_kitchen,byo_alcohol,venue_provides_alcohol,alcohol_licence,extension_available,complimentary_water,complimentary_tea_and_coffee,Halal_menu,Kosher_menu,vegan_menu,gluten_free_menu,parking,Wi-Fi,Projector,Flipchart,Natural_light,Flatscreen_TV,Whiteboard,Conference_call_facilities,Air_conditioning,Storage_space,Accommodation_available,Own_music_allowed,Bring_your_own_DJ,PA_system_or_music_speakers_available,Wheelchair_accessible,Promoted_or_ticketed_events,Loud_music_or_events,Wedding_licence,Temporary_event_notices_(TENs)_available,Disabled_access_toilets,Ground_level,Lift_to_all_floors
https://www.tagvenue.com/rooms/bayswater/3064/queens-skate-dine-bowl/the-sinbin,Per day,min. spend,2500.0,https://www.tagvenue.com/venues/bayswater/1119/queens-skate-dine-bowl,queens skate dine bowl,the sinbin,51.510876579882,-0.18738979566194,"17 Queensway, Bayswater, W24QP",Queensway Station,100.0,0,120,120,83.33333333333333,10000.0,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,No External Catering,True,BYO alcohol not allowed,True,23:00,extension available,True,False,True,False,True,True,Paid Parking,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
https://www.tagvenue.com/rooms/brentford/17965/ubcuk-brentford-the-mille/kew,Per day,hire fee,100.0,https://www.tagvenue.com/venues/brentford/8035/ubcuk-brentford-the-mille,ubcuk brentford the mille,kew,51.488725367297,-0.31314253807068,"First Floor, The Mille, Great West Road, 1000, Brentford, TW8 9DW",,,4,0,4,1.75,7.0,False,False,False,True,False,False,False,0.0,0.0,4.0,0.0,0.0,0.0,False,Any External Caterer - no fee - kitchen for guests,False,BYO alcohol not allowed,False,alcohol not available,alcohol not available,True,True,venue doesnt provide catering,venue doesnt provide catering,venue doesnt provide catering,venue doesnt provide catering,Free Parking,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
https://www.tagvenue.com/rooms/brentford/17966/ubcuk-brentford-the-mille/manor-or-boston-suite,Per day,hire fee,175.0,https://www.tagvenue.com/venues/brentford/8035/ubcuk-brentford-the-mille,ubcuk brentford the mille,manor or boston suite,51.488725367297,-0.31314253807068,"First Floor, The Mille, Great West Road, 1000, Brentford, TW8 9DW",,,20,0,20,1.25,25.0,False,False,False,True,True,False,True,0.0,0.0,18.0,20.0,0.0,20.0,False,Any External Caterer - no fee - kitchen for guests,False,BYO alcohol not allowed,False,alcohol not available,alcohol not available,True,True,venue doesnt provide catering,venue doesnt provide catering,venue doesnt provide catering,venue doesnt provide catering,Free Parking,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
https://www.tagvenue.com/rooms/brentford/1828/gaming-party-bus/galaxy-van,Per morning,hire fee,280.0,https://www.tagvenue.com/venues/brentford/696/gaming-party-bus,gaming party bus,galaxy van ,51.490946,-0.301281,"Great West Road, 1100, Brentford, TW8 0GP",,,15,15,15,1.3333333333333333,20.0,True,False,False,True,False,False,False,0.0,0.0,15.0,0.0,0.0,0.0,False,No External Catering,False,BYO alcohol not allowed,False,alcohol not available,alcohol not available,False,False,venue doesnt provide catering,venue doesnt provide catering,venue doesnt provide catering,venue doesnt provide catering,No Parking Available,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
https://www.tagvenue.com/rooms/chessington/8692/chessington-world-of-adventures/boardroom,Per day,hire fee,250.0,https://www.tagvenue.com/venues/chessington/4304/chessington-world-of-adventures,chessington world of adventures,boardroom,51.349485234474,-0.31727313995361,"Leatherhead Road, Chessington, KT9 2NE",,,12,0,12,3.333333333333333,40.0,False,False,False,True,False,False,False,0.0,0.0,12.0,0.0,0.0,0.0,False,No External Catering,True,BYO alcohol not allowed,False,alcohol not available,alcohol not available,False,False,False,False,True,True,Free Parking,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,False,False,False
https://www.tagvenue.com/rooms/croydon/4420/tmrw/yocroydon-event-space,Per day,hire fee,780.0,https://www.tagvenue.com/venues/croydon/1821/tmrw-1,tmrw,yocroydon event space,51.3712327,-0.0993054,"75-77 High St, Croydon, CR0 1QQ",West Croydon Station,850.0,200,250,250,84.0,21000.0,True,True,False,True,True,True,False,200.0,0.0,12.0,35.0,200.0,0.0,False,Any External Caterer - no fee - kitchen for guests,True,BYO alcohol not allowed,False,alcohol not available,alcohol not available,True,False,False,False,True,True,Free Parking,True,True,True,False,True,False,False,True,False,False,True,False,True,True,True,True,False,True,False,False,False
https://www.tagvenue.com/rooms/croydon/9082/mr-fox/the-pink-room,Per evening,min. spend,500.0,https://www.tagvenue.com/venues/croydon/4422/mr-fox,mr fox,the pink room,51.373377,-0.1013369,"Surrey Street, 34, Croydon, CR0 1RJ",West Croydon Station,550.0,40,50,50,0.9,45.0,True,True,False,False,False,False,True,40.0,0.0,0.0,0.0,0.0,30.0,False,No External Catering,True,BYO alcohol not allowed,True,3:00,extension available,True,False,False,False,False,False,Paid Parking,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
https://www.tagvenue.com/rooms/croydon/9082/mr-fox/the-pink-room,Per morning,min. spend,500.0,https://www.tagvenue.com/venues/croydon/4422/mr-fox,mr fox,the pink room,51.373377,-0.1013369,"Surrey Street, 34, Croydon, CR0 1RJ",West Croydon Station,550.0,40,50,50,0.9,45.0,True,True,False,False,False,False,True,40.0,0.0,0.0,0.0,0.0,30.0,False,No External Catering,True,BYO alcohol not allowed,True,3:00,extension available,True,False,False,False,False,False,Paid Parking,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
https://www.tagvenue.com/rooms/croydon/9083/mr-fox/the-skylight,Per morning,min. spend,500.0,https://www.tagvenue.com/venues/croydon/4422/mr-fox,mr fox,the skylight,51.373377,-0.1013369,"Surrey Street, 34, Croydon, CR0 1RJ",West Croydon Station,550.0,80,80,80,1.0625,85.0,True,True,True,True,True,True,False,60.0,60.0,40.0,60.0,80.0,0.0,False,No External Catering,True,BYO alcohol not allowed,True,3:00,extension available,True,False,False,False,False,False,Paid Parking,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False
https://www.tagvenue.com/rooms/croydon/9306/mr-fox/whole-venue,Per evening,min. spend,2000.0,https://www.tagvenue.com/venues/croydon/4422/mr-fox,mr fox,whole venue,51.373377,-0.1013369,"Surrey Street, 34, Croydon, CR0 1RJ",West Croydon Station,550.0,100,300,300,0.8966666666666666,269.0,True,True,True,False,True,False,False,100.0,50.0,0.0,100.0,0.0,0.0,False,No External Catering,True,BYO alcohol not allowed,True,3:00,extension available,True,False,False,False,False,False,Paid Parking,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,True,False
