space_url,time_period_desc_fixed,price_type,total_price,venue_url,venue_name,space_name,latitude,longitude,address,nearest_tube_station,tube_distance,max_seated,max_standing,max_seated_or_standing,min_area_per_person,area_in_m2,standing,dining,theatre,boardroom,classroom,cabaret,u_shaped,Dining_max,Theatre_max,Boardroom_max,Classroom_max,Cabaret_max,U-Shaped_max,supervenue,external_catering,in_house_kitchen,byo_alcohol,venue_provides_alcohol,alcohol_licence,extension_available,complimentary_water,complimentary_tea_and_coffee,Halal_menu,Kosher_menu,vegan_menu,gluten_free_menu,parking,Wi-Fi,Projector,Flipchart,Natural_light,Flatscreen_TV,Whiteboard,Conference_call_facilities,Air_conditioning,Storage_space,Accommodation_available,Own_music_allowed,Bring_your_own_DJ,PA_system_or_music_speakers_available,Wheelchair_accessible,Promoted_or_ticketed_events,Loud_music_or_events,Wedding_licence,Temporary_event_notices_(TENs)_available,Disabled_access_toilets,Ground_level,Lift_to_all_floors
https://www.tagvenue.com/rooms/bayswater/3064/queens-skate-dine-bowl/the-sinbin,Per day,min. spend,2500.0,https://www.tagvenue.com/venues/bayswater/1119/queens-skate-dine-bowl,queens skate dine bowl,the sinbin,51.510876579882,-0.18738979566194,"17 Queensway, Bayswater, W24QP",Queensway Station,100.0,0,120,120,83.33333333333333,10000.0,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,No External Catering,True,BYO alcohol not allowed,True,23:00,extension available,True,False,True,False,True,True,Paid Parking,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
https://www.tagvenue.com/rooms/croydon/9082/mr-fox/the-pink-room,Per evening,min. spend,500.0,https://www.tagvenue.com/venues/croydon/4422/mr-fox,mr fox,the pink room,51.373377,-0.1013369,"Surrey Street, 34, Croydon, CR0 1RJ",West Croydon Station,550.0,40,50,50,0.9,45.0,True,True,False,False,False,False,True,40.0,0.0,0.0,0.0,0.0,30.0,False,No External Catering,True,BYO alcohol not allowed,True,3:00,extension available,True,False,False,False,False,False,Paid Parking,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
https://www.tagvenue.com/rooms/croydon/9306/mr-fox/whole-venue,Per evening,min. spend,2000.0,https://www.tagvenue.com/venues/croydon/4422/mr-fox,mr fox,whole venue,51.373377,-0.1013369,"Surrey Street, 34, Croydon, CR0 1RJ",West Croydon Station,550.0,100,300,300,0.8966666666666666,269.0,True,True,True,False,True,False,False,100.0,50.0,0.0,100.0,0.0,0.0,False,No External Catering,True,BYO alcohol not allowed,True,3:00,extension available,True,False,False,False,False,False,Paid Parking,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,True,False
https://www.tagvenue.com/rooms/london-wc1e-6jl/6372/simmons-euston-square/whole-venue,Per evening,min. spend,2000.0,https://www.tagvenue.com/venues/london-wc1e-6jl/3132/simmons-euston-square,simmons | euston square,whole venue,51.523497512352,-0.13548374176025,"31 University Street, London WC1E 6JL, WC1E 6JL",Warren Street Station,250.0,0,150,150,5.66,849.0,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,Any External Caterer - no fee - no kitchen for guests,False,BYO alcohol not allowed,True,0:00,extension available,False,False,venue doesnt provide catering,venue doesnt provide catering,venue doesnt provide catering,venue doesnt provide catering,No Parking Available,False,False,False,True,False,False,False,True,False,False,True,True,True,False,False,True,False,True,False,False,False
https://www.tagvenue.com/rooms/london-wc1e-6jl/6373/simmons-euston-square/function-room,Per evening,min. spend,500.0,https://www.tagvenue.com/venues/london-wc1e-6jl/3132/simmons-euston-square,simmons | euston square,function room,51.523497512352,-0.13548374176025,"31 University Street, London WC1E 6JL, WC1E 6JL",Warren Street Station,250.0,0,60,60,3.683333333333333,221.0,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,Any External Caterer - no fee - no kitchen for guests,False,BYO alcohol not allowed,True,0:00,extension available,False,False,venue doesnt provide catering,venue doesnt provide catering,venue doesnt provide catering,venue doesnt provide catering,No Parking Available,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False
https://www.tagvenue.com/rooms/london-west-london/4235/the-marylebone-rooms/the-long-room,Per day,min. spend,3000.0,https://www.tagvenue.com/venues/london-west-london/1737/the-marylebone-rooms,the marylebone rooms,the long room,51.518074925364,-0.14961452513126,"47 Welbeck Street,  London West London, W1G 8DN",Bond Street Station,550.0,45,65,65,1.4,91.0,True,True,True,True,True,True,True,30.0,45.0,30.0,24.0,30.0,24.0,False,No External Catering,True,BYO alcohol not allowed,True,23:00,extension not available,False,False,True,False,False,True,No Parking Available,True,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False
https://www.tagvenue.com/rooms/london-west-london/4236/the-marylebone-rooms/the-library-room,Per day,min. spend,3000.0,https://www.tagvenue.com/venues/london-west-london/1737/the-marylebone-rooms,the marylebone rooms,the library room,51.518074925364,-0.14961452513126,"47 Welbeck Street,  London West London, W1G 8DN",Bond Street Station,550.0,40,0,40,1.825,73.0,False,True,True,True,True,True,True,20.0,40.0,20.0,16.0,24.0,20.0,False,No External Catering,True,BYO alcohol not allowed,True,23:00,extension not available,False,False,True,False,False,True,No Parking Available,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False
https://www.tagvenue.com/rooms/london-west-london/4237/the-marylebone-rooms/blue-room,Per day,min. spend,3000.0,https://www.tagvenue.com/venues/london-west-london/1737/the-marylebone-rooms,the marylebone rooms,blue room,51.518074925364,-0.14961452513126,"47 Welbeck Street,  London West London, W1G 8DN",Bond Street Station,550.0,60,80,80,1.2375,99.0,True,True,True,True,True,True,True,30.0,60.0,30.0,44.0,36.0,28.0,False,No External Catering,True,BYO alcohol not allowed,True,23:00,extension not available,False,False,True,False,False,True,No Parking Available,True,True,True,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False
https://www.tagvenue.com/rooms/london-west-london/4238/the-marylebone-rooms/the-courtyard,Per day,min. spend,3000.0,https://www.tagvenue.com/venues/london-west-london/1737/the-marylebone-rooms,the marylebone rooms,the courtyard,51.518074925364,-0.14961452513126,"47 Welbeck Street,  London West London, W1G 8DN",Bond Street Station,550.0,24,40,40,1.825,73.0,True,True,False,True,False,False,False,24.0,0.0,24.0,0.0,0.0,0.0,False,No External Catering,True,BYO alcohol not allowed,True,23:00,extension not available,False,False,True,False,False,True,No Parking Available,True,True,True,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False
https://www.tagvenue.com/rooms/london/1000/the-elgin/whole-venue,Per evening,min. spend,3000.0,https://www.tagvenue.com/venues/london/392/the-elgin,the elgin,whole venue,51.530393062669,-0.18544343306576,"255 Elgin Avenue, Maida Vale, London, W9 1NJ",Maida Vale Station,100.0,80,200,200,3.25,650.0,True,True,True,False,True,False,True,80.0,60.0,0.0,60.0,0.0,60.0,True,No External Catering,True,BYO alcohol not allowed,True,0:00,extension available,True,False,False,False,False,False,No Parking Available,True,True,False,True,False,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False
https://www.tagvenue.com/rooms/london/10003/ninth-ward-london/main-bar-room,Per day,min. spend,100.0,https://www.tagvenue.com/venues/london/961/ninth-ward-london,ninth ward london,main bar room,51.522596006618,-0.10746707420503,"99-101 Farringdon Road, London, EC1R 3BN",Farringdon Station,350.0,65,100,100,1.9,190.0,True,True,False,False,False,False,False,65.0,0.0,0.0,0.0,0.0,0.0,False,No External Catering,True,BYO alcohol not allowed,True,3:00,extension not available,True,False,True,True,True,True,No Parking Available,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False
https://www.tagvenue.com/rooms/london/10006/the-george-monkey/back-room,Per day,min. spend,100.0,https://www.tagvenue.com/venues/london/4446/the-george-monkey,the george & monkey,back room,51.529064466848,-0.11022806167603,"Amwell Street, 68, London, EC1R 1UU",Angel Station,550.0,45,100,100,1.6,160.0,True,True,False,False,False,False,False,45.0,0.0,0.0,0.0,0.0,0.0,True,No External Catering,True,BYO alcohol not allowed,True,23:00,extension not available,True,False,False,False,False,True,No Parking Available,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
