space_url,venue_url,venue_name,space_name,latitude,longitude,address,nearest_tube_station,max_seated,max_standing,area_in_m2,catering_offered,external_catering_allowed,supervenue,Boardroom_max,Standing_max,Dining_max,Theatre_max,Cabaret_max,U-Shaped_max,Classroom_max,Approved caterers only,BYO alcohol allowed,BYO alcohol not allowed,External catering allowed,External catering not allowed,In-house catering,No in-house catering,Venue doesn’t provide alcohol,Venue provides alcohol,Buyout fee for external catering,Kitchen facilities available for guests,Complimentary water,Complimentary tea and coffee,Alcohol licence until 03:00 (extension available),Halal menu,Kosher menu,Extensive vegan menu,Extensive gluten-free menu,Alcohol licence until 23:00,Alcohol licence until 23:00 (extension available),Corkage fee for BYO alcohol,Alcohol licence until 01:00 (extension available),Alcohol licence until 00:00 (extension available),Alcohol licence until 04:00,Alcohol licence until 01:00,Alcohol licence until 00:00,Alcohol licence until 02:00 (extension available),Alcohol licence until 03:00,Alcohol licence until 21:30,Alcohol licence until 22:30 (extension available),Alcohol licence until 00:30,Alcohol licence until 02:00,Alcohol licence until 23:30 (extension available),Alcohol licence until 05:00 (extension available),Alcohol licence until 23:30,Alcohol licence until 04:00 (extension available),Alcohol licence until 00:30 (extension available),Alcohol licence until 22:30,Alcohol licence until 05:00,Alcohol licence until 01:30,Alcohol licence until 21:00 (extension available),Alcohol licence until 22:00,Alcohol licence until 22:00 (extension available),Alcohol licence until 02:30,Alcohol licence until 02:30 (extension available),Alcohol licence until 21:00,Wi-Fi,Flatscreen TV,Whiteboard,Natural light,Projector,Flipchart,Conference call facilities,Air conditioning,Storage space,Accommodation available,Parking available,Own music allowed,Bring your own DJ,PA system / music speakers available,Lift to all floors,Wheelchair accessible,Promoted / ticketed events,Loud music / events,Wedding licence,Temporary event notices (TENs) available,Free parking is available on-site,Paid parking facilities available nearby,Disabled access toilets
https://www.tagvenue.com/rooms/london/22452/techspace-aldgate-east/aldgate-east-32-pairing,https://www.tagvenue.com/venues/london/10000/techspace-aldgate-east,techspace aldgate east,aldgate east 3.2 (pairing),51.514050021288,-0.070852213474468,"32-38 Leman Street, London, E1 8EW",Aldgate East Station (200 yd),2,0,4,Venue doesn’t offer catering,External catering allowed,False,2.0,,,,,,,0,0,1,1,0,0,1,1,0,False,True,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,
https://www.tagvenue.com/rooms/london/4947/green-rooms-hotel/the-gallery-3rd-floor,https://www.tagvenue.com/venues/london/2111/green-rooms-hotel,green rooms hotel,the gallery (3rd floor),51.597050338315,-0.11091048587798,"13-27 STATION ROAD , WOOD GREEN , LONDON, N22 6UW",Wood Green Station (150 yd),88,120,111,Venue offers catering,External catering not allowed,False,50.0,120.0,88.0,80.0,8.0,40.0,80.0,1,0,1,0,1,1,0,0,1,,,0.0,0.0,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,True,True,False,False,True,True,,True,False,True,,False,True,True,False,False,True,,
https://www.tagvenue.com/rooms/london/18440/148-leadenhall-street/john-taylor,https://www.tagvenue.com/venues/london/8258/148-leadenhall-street,148 leadenhall street,john taylor,51.513469937486,-0.083224251866341,"Leadenhall Street, 148, London, EC3V 4QT",Bank Station (450 yd),10,0,20,Venue doesn’t offer catering,External catering allowed,False,10.0,,,,,,,0,0,1,1,0,0,1,1,0,False,False,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,False,True,False,True,False,False,False,False,False,True,,False,False,False,False,False,,,
https://www.tagvenue.com/rooms/london/419/conway-hall/brockway-room,https://www.tagvenue.com/venues/london/186/conway-hall,conway hall,brockway room,51.5197923,-0.118337,"25 Red Lion Square, London, WC1R 4RL",Holborn Station (350 yd),60,60,81,Venue offers catering,External catering not allowed,False,28.0,60.0,40.0,60.0,30.0,,36.0,0,0,1,0,1,1,0,1,0,,,1.0,1.0,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,,,
https://www.tagvenue.com/rooms/london/12387/whyte-brown/terrace,https://www.tagvenue.com/venues/london/5716/whyte-brown,whyte & brown,terrace,51.512505117627,-0.13864070177078,"Whyte & Brown, Unit G2 Kingly Court, London, W1B 5PW",Oxford Circus Station (400 yd),40,50,45,Venue offers catering,External catering allowed,False,,50.0,40.0,,,,,0,0,1,1,0,1,0,0,1,True,False,1.0,0.0,,False,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,True,False,True,False,False,False,False,False,True,False,False,,True,False,False,False,True,,,
https://www.tagvenue.com/rooms/london/713/gridiron-building/meeting-room-1,https://www.tagvenue.com/venues/london/312/gridiron-building,gridiron building,meeting room 1,51.532233759516,-0.12547940000002,"1 Pancras Square, King's Cross, London, N1C 4AG",King's Cross St. Pancras Station (300 yd),12,0,15,Venue offers catering,External catering allowed,False,12.0,,,,,,,0,0,1,1,0,1,0,1,0,True,False,1.0,0.0,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,False,True,False,False,False,False,False,True,,False,False,False,False,False,,,
https://www.tagvenue.com/rooms/surrey/1326/sandown-park-racecourse/gold-cup-suite,https://www.tagvenue.com/venues/surrey/518/sandown-park-racecourse,sandown park racecourse,gold cup suite ,51.372826215522,-0.36029309531261,"Portsmouth Road, Esher, Surrey, KT10 9AJ",,420,420,590,Venue offers catering,External catering not allowed,False,100.0,420.0,360.0,420.0,304.0,80.0,200.0,1,1,0,0,1,1,0,0,1,,,1.0,0.0,,True,False,True,True,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,,True,False,True,,True,True,True,True,False,True,,
https://www.tagvenue.com/rooms/london/27799/duke-of-edinburgh/garden-area,https://www.tagvenue.com/venues/london/13259/duke-of-edinburgh,duke of edinburgh,garden area,51.463222063025,-0.11997418465576,"Ferndale Road, 204, London, SW9 8AG",Brixton Station (450 yd),0,500,186,Venue offers catering,External catering not allowed,False,,500.0,,,,,,0,0,1,0,1,1,0,0,1,,,0.0,0.0,,False,False,False,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,False,False,False,False,False,,False,False,False,,True,False,False,False,True,,True,True
https://www.tagvenue.com/rooms/london/22467/kimpton-fitzroy-london/moore,https://www.tagvenue.com/venues/london/9651/kimpton-fitzroy-london-1,kimpton fitzroy london,moore,51.52273750423,-0.12449802327881,"Russell Square, 1-8, London, WC1B 5BE",Russell Square Station (50 yd),6,0,33,Venue offers catering,External catering not allowed,False,6.0,,6.0,,,6.0,,0,1,0,0,1,1,0,0,1,,,1.0,0.0,,True,True,True,True,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,True,True,False,True,,True,True,True,True,False,True,True,False,False,,True,True
https://www.tagvenue.com/rooms/london/18972/magazine-london/space-1,https://www.tagvenue.com/venues/london/4187/magazine-london,magazine london,space 1,51.501065938317,-0.00083684921264648,"Greenwich Peninsula, Magazine London, London, SE10 0QE",North Greenwich Station (400 yd),900,1750,875,Venue offers catering,External catering not allowed,False,,1750.0,560.0,900.0,392.0,,,1,0,1,0,1,0,1,0,1,,,0.0,0.0,,False,False,False,False,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,False,False,False,True,False,False,False,False,False,True,,True,True,False,False,False,,,
