space_url,venue_url,venue_name,space_name,latitude,longitude,address,nearest_tube_station,max_seated,max_standing,area_in_m2,catering_offered,external_catering_allowed,supervenue,Standing_max,Dining_max,Theatre_max,Boardroom_max,Classroom_max,Cabaret_max,U-Shaped_max,Approved caterers only,BYO alcohol allowed,BYO alcohol not allowed,External catering allowed,External catering not allowed,In-house catering,No in-house catering,Venue doesn’t provide alcohol,Venue provides alcohol,Alcohol licence until 23:00,Corkage fee for BYO alcohol,Buyout fee for external catering,Kitchen facilities available for guests,Complimentary water,Complimentary tea and coffee,Alcohol licence until 23:00 (extension available),Halal menu,Kosher menu,Extensive vegan menu,Extensive gluten-free menu,Alcohol licence until 1:30,Alcohol licence until 1:00,Alcohol licence until 0:00,Alcohol licence until 1:00 (extension available),Alcohol licence until 5:00 (extension available),Alcohol licence until 3:00 (extension available),Alcohol licence until 0:00 (extension available),Alcohol licence until 2:00 (extension available),Alcohol licence until 22:30,Alcohol licence until 22:00,Alcohol licence until 2:00,Alcohol licence until 22:30 (extension available),Alcohol licence until 3:00,Alcohol licence until 0:30 (extension available),Alcohol licence until 4:00,Alcohol licence until 23:30,Alcohol licence until 23:30 (extension available),Alcohol licence until 21:30,Alcohol licence until 4:00 (extension available),Alcohol licence until 2:30,Alcohol licence until 0:30,Alcohol licence until 22:00 (extension available),Alcohol licence until 5:00,Alcohol licence until 21:00 (extension available),Alcohol licence until 2:30 (extension available),Alcohol licence until 21:00,Alcohol licence until 1:30 (extension available),Wi-Fi,Projector,Flipchart,Natural light,Flatscreen TV,Whiteboard,Conference call facilities,Air conditioning,Storage space,Accommodation available,Parking available,Own music allowed,Bring your own DJ,PA system / music speakers available,Wheelchair accessible,Promoted / ticketed events,Loud music / events,Wedding licence,Temporary event notices (TENs) available,Paid parking facilities available nearby,Disabled access toilets,Ground level,Lift to all floors,Free parking is available on-site
https://www.tagvenue.com/rooms/london/19171/the-golden-hinde/entire-ship,https://www.tagvenue.com/venues/london/2034/the-golden-hinde,the golden hinde,entire ship,51.507013794073,-0.090455959930409,"St Mary Overie Dock, Cathedral Street, London, SE1 9DE",London Bridge Station (350 yd),65,120,129,Venue doesn’t offer catering,External catering allowed,False,120.0,60.0,30.0,30.0,65.0,,,0,1,0,1,0,0,1,0,1,True,True,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,,,,,
https://www.tagvenue.com/rooms/london/21285/goodenough-college-events-venue-hire/large-common-room-wgh,https://www.tagvenue.com/venues/london/9456/goodenough-college-events-venue-hire,goodenough college events & venue hire,large common room-wgh,51.524406302273,-0.11732613173828,"Mecklenburgh Square, London House, London, WC1N 2AB",Russell Square Station (600 yd),120,120,135,Venue offers catering,External catering not allowed,False,120.0,,120.0,35.0,35.0,60.0,35.0,0,1,0,0,1,1,0,0,1,,False,,,0.0,0.0,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,False,False,True,False,True,True,False,True,False,True,True,True,True,False,False,,,,,
https://www.tagvenue.com/rooms/london/1044/gracepoint/whole-building,https://www.tagvenue.com/venues/london/410/gracepoint,gracepoint,whole building,51.540573355464,-0.096280013403202,"161-169 Essex Road, Islington, London, N1 2SN",Highbury & Islington Station (900 yd),1160,0,1561,Venue offers catering,External catering not allowed,False,,,1160.0,,,,,1,0,1,0,1,1,0,1,0,,,,,0.0,0.0,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,False,False,True,False,False,False,True,False,True,True,True,True,True,True,,,,,
https://www.tagvenue.com/rooms/london/4056/aquilla-health-and-fitness/studio,https://www.tagvenue.com/venues/london/1635/aquilla-health-and-fitness,aquilla health and fitness,studio ,51.4957654,-0.170124,"11 Thurloe Place, London, SW7 2RS",South Kensington Station (400 yd),0,12,35,Venue doesn’t offer catering,External catering not allowed,False,12.0,,,,,,,0,0,1,0,1,0,1,1,0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,,,,,
https://www.tagvenue.com/rooms/london/26534/pergola-on-the-wharf/city,https://www.tagvenue.com/venues/london/12564/pergola-on-the-wharf,pergola on the wharf,city,51.505429847891,-0.017214038848876,"Crossrail Pl, London, E14 5AR",Poplar Station (250 yd),40,60,50,Venue offers catering,External catering not allowed,False,60.0,40.0,,,,,,0,0,1,0,1,1,0,0,1,,,,,0.0,0.0,,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,False,False,False,True,False,False,,False,False,True,True,False,False,False,True,True,True,,,
https://www.tagvenue.com/rooms/london/37409/woods-silver-fleet/silver-sturgeon,https://www.tagvenue.com/venues/london/17695/woods-silver-fleet,woods silver fleet,silver sturgeon,51.5093247,-0.1186269,"Woods Quay, Victoria Embankment, London, WC2N 6AY",Embankment Station (400 yd),440,550,550,Venue offers catering,External catering not allowed,False,550.0,440.0,200.0,,,112.0,,0,0,1,0,1,1,0,0,1,,,,,0.0,0.0,,True,False,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,False,False,False,False,,True,True,,
https://www.tagvenue.com/rooms/london/4608/prince-philip-house/al-qasimi-and-era-foundation,https://www.tagvenue.com/venues/london/1900/prince-philip-house,prince philip house,al qasimi and era foundation,51.505914543732,-0.13324296322935,"3 Carlton House Terrace, London, SW1Y 5DG",Piccadilly Circus Station (550 yd),170,200,90,Venue offers catering,External catering not allowed,False,200.0,120.0,170.0,50.0,70.0,90.0,150.0,0,0,1,0,1,1,0,0,1,,,,,0.0,0.0,True,True,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,False,False,True,True,False,False,False,True,True,True,True,False,False,True,True,,True,,True,
https://www.tagvenue.com/rooms/london/21485/salters-hall/dining-room,https://www.tagvenue.com/venues/london/6806/salters-hall,salters’ hall,dining room,51.518150192247,-0.092069506645203,"London Wall Place, London, EC2M 5NT",Moorgate Station (250 yd),30,0,32,Venue offers catering,External catering not allowed,False,,20.0,30.0,20.0,,,,0,0,1,0,1,1,0,0,1,,,,,0.0,0.0,,True,True,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,
https://www.tagvenue.com/rooms/london/1097/london-transport-museum/cubic-theatre-foyer,https://www.tagvenue.com/venues/london/429/london-transport-museum,london transport museum,cubic theatre & foyer,51.512016566584,-0.1218049994751,"39 Wellington Street, Covent Garden, London, WC2E 7BB",Covent Garden Station (250 yd),121,80,400,Venue offers catering,External catering not allowed,False,80.0,,121.0,20.0,20.0,,15.0,1,0,1,0,1,1,0,0,1,,,,,0.0,0.0,,False,False,False,False,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,False,False,False,False,,True,,True,
https://www.tagvenue.com/rooms/london/1151/south-place-hotel/solo,https://www.tagvenue.com/venues/london/453/south-place-hotel,south place hotel,solo,51.51877966514,-0.08626515026242,"3 South Place, Moorgate,  London , EC2M 2AF",Moorgate Station (250 yd),20,0,37,Venue offers catering,External catering not allowed,False,,20.0,,20.0,,,,0,0,1,0,1,1,0,0,1,,,,,0.0,0.0,,True,False,True,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,True,False,True,True,True,False,True,True,True,True,,True,False,True,True,False,False,True,False,True,,,True,
